Area,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
DIV4,12.28108958,17.10822172,26.82468847,29.19708029,26.79724232,21.96943807,19.58192588
DIV5,18.34285415,18.34958582,28.9161694,29.02144949,21.11152161,7.844777993,18.10376041
DIV6,44.59308807,39.12691093,70.52584067,76.85082401,82.46601831,59.32538562,70.35515281
DIV7,28.61900302,20.45512657,25.00562627,31.93632388,26.5738996,26.32208662,33.29924125
DIV8,26.34005005,23.03844128,29.48885976,26.10029037,38.98255531,61.13846253,57.41443654
DIV9,56.29838142,45.3424774,48.31879032,36.82197989,33.69934567,41.81417779,52.76458663
DIV10,19.42286349,19.08709167,37.74297037,32.20093383,40.27494362,37.60105283,45.57885141
DIV11,89.50307891,68.1492109,96.61835749,84.93771234,78.22065025,50.33820985,70.86753676
DIV12,30.7743957,53.12901963,61.18249068,58.06719204,46.78426948,46.46459125,67.97172376
DIV13,46.98774962,53.69848302,63.66865492,67.06008584,73.56137359,53.25168076,56.29139073
DIV14,49.79941901,55.5493834,89.56059334,110.0016923,138.9637276,145.3157055,128.4466518
DIV15,26.70084375,13.17175975,20.79056109,20.65102352,17.94825774,25.55453337,35.66606374
DIV16,40.20201513,37.68560159,40.08718964,44.91242078,42.22343649,49.51230381,41.97945476
DIV17,34.7785764,37.30486685,34.03482897,33.53922692,27.59381898,43.4676302,37.74602319
DIV18,28.48929062,33.67526681,46.62970831,41.39287008,36.26285389,31.05831198,49.24065723
DIV19,12.61129468,7.571551158,10.09310893,12.51376514,24.60327224,26.51305165,30.85980155
DIV20,15.76251149,13.57588922,29.30676187,20.35675208,26.44675787,18.8550284,23.58824362
DIV21,94.17724808,71.48195081,111.0457901,94.79292649,103.7378027,98.53469375,106.1537981
DIV22,20.50545958,12.78641571,17.84758165,20.32933523,20.20355077,12.55650427,22.50168763
DIV23,18.17961459,22.15865598,27.05031358,21.95302054,20.88180896,16.89155621,19.85998709
DIV24,9.785453923,4.885794552,2.430310837,12.08722139,9.508867018,20.99419161,13.78328088
DIV25,17.78054364,15.66345939,26.88172043,33.57056533,46.90326759,35.664928,28.91844997
DIV26,39.3752461,42.26680105,35.48272636,25.58199028,38.26652636,70.39098995,67.61107534
DIV27,112.7062928,113.9767275,96.92714746,77.87353338,90.26900162,96.85970636,95.70824098
DIV28,23.09765174,17.84257749,15.11220815,17.43027888,29.5850694,31.57562362,24.00096004
DIV29,37.83817872,35.79399503,41.97536046,58.19874873,69.94877281,69.32126328,64.93242969
DIV30,23.26392928,26.1749651,34.78765038,26.04392742,28.95277802,26.10890314,34.9080754
DIV31,57.8289365,41.24164857,41.17485589,27.42506102,32.9661273,35.68781398,46.59832246
DIV32,25.08361204,14.01816755,14.000112,16.79308125,14.01580983,16.94819502,17.04254957
DIV33,17.25377426,22.90557178,25.60673742,25.46545187,19.74277978,22.41461433,25.09480259
DIV34,48.54133295,41.29922503,48.44257133,60.40690088,52.89351574,40.87029691,36.06115973
DIV35,22.67445156,45.02983226,50.27511661,46.93928266,32.55738239,39.74668115,46.94590788
DIV36,18.9097196,13.48363087,21.56508613,24.27642759,29.57148234,34.7129506,39.77197402
DIV37,21.96655592,11.02596615,13.79805172,5.520744196,16.52482855,16.48351648,19.17020403
DIV38,67.67371601,64.69235193,57.0640544,54.37609343,51.80371103,56.32612828,67.95388509
DIV39,24.56935383,30.02675111,27.15325296,26.99856908,32.20611916,45.50199406,50.73160312
DIV40,14.20938956,14.10835214,19.51110739,30.24138121,26.9789025,23.85180081,18.32604655
DIV41,42.56742376,39.29273084,21.04946625,35.9690666,53.83258067,59.52380952,56.2279897
DIV42,24.82806565,19.90148764,24.87252829,39.71997418,59.41476457,56.7438877,44.26737494
DIV43,17.26136167,14.75905837,14.59179455,16.8200495,26.09974849,28.23861631,28.06886228
DIV44,67.37598608,50.25125628,49.92372764,55.25014503,79.97793712,93.00544355,97.54511462
DIV45,77.85596646,71.35212273,82.57881853,70.0280112,89.91240791,80.58017728,65.87426607
DIV46,27.98142034,27.2123653,32.19315895,39.80574795,39.77830226,47.26518394,39.24030764
DIV47,17.2254161,25.24190156,26.92570576,40.64710186,35.97553664,32.50726633,20.29520295
DIV48,27.54138092,24.55058785,29.85074627,35.18553604,21.56101768,18.83898054,24.23915971
DIV49,20.47874761,18.1847112,18.11061055,11.25999324,15.69541918,24.53330954,26.71534797
DIV50,26.42388719,16.72800268,19.09171181,28.46367324,42.375874,39.71220333,25.56950256
DIV51,33.80750527,33.58305347,33.51465622,23.2162204,25.83712278,30.99333643,46.45041418
DIV52,18.48624095,34.32796409,44.72860263,44.60771451,36.49920484,41.3885871,43.63785712
DIV53,32.65839321,41.02508,35.66040324,40.99368697,27.05993776,32.30756805,40.36489868
DIV54,43.91446813,36.39250976,28.91380474,28.15843815,30.42195248,40.8806868,45.20540205
DIV55,66.47398844,74.68259895,82.72006389,65.15396164,81.68323804,81.50646431,120.8883891
DIV56,20.54389975,25.54865742,25.43234995,25.36783359,27.83471242,27.83612116,30.29690972
DIV57,18.70157628,15.86755878,28.82599581,25.94033722,40.78511343,27.67295597,32.39633174
DIV58,25.13136852,20.60156572,32.02342285,54.96518871,82.39306067,105.5869256,105.6985294
CHSCTAXE,38.25066939,36.53461257,33.13112827,36.80443533,47.45752163,51.78583851,59.18842674
CHSCTBARNSTAPLE,26.06057222,30.63270459,42.71123491,51.11951743,48.36534437,40.78757091,38.7711395
CHSCTBIDEFORD,29.24600634,23.55805096,25.68833049,22.38500668,29.12479977,37.37804459,38.79831722
CHSCTBRAUNTON,26.42762003,27.35373642,41.94366965,40.88950398,53.58212248,55.84237699,56.97284294
CHSCTCREDITON,39.43412037,32.60834121,38.80167494,36.95432125,35.10899748,42.87687983,52.21188532
CHSCTCULLOMPTON,23.654509,27.97453199,29.97568639,30.83836292,26.23409558,28.22773266,27.02585834
CHSCTDAWLISH,18.03981493,15.90921143,16.93623507,15.78149987,20.84875272,24.74737059,26.62788554
CHSCTEXETERCHALL,40.03736821,31.31086381,44.16218035,40.53695879,47.30465213,43.02457841,47.85961181
CHSCTEXETERSYCAMORE,23.41257841,21.28050609,24.77134146,29.88908348,32.47778017,32.15362286,26.81825576
CHSCTEXMOUTH,18.68072564,20.70979366,25.41610282,21.88632788,22.45615945,19.0074061,25.06554301
CHSCTHONITON,31.3293023,30.31728608,42.74306207,42.60227143,61.07470782,55.78858194,61.90225634
CHSCTIVYBRIDGE,54.76879743,41.99382788,41.86340846,49.55208799,59.20031056,63.94233564,63.78537189
CHSCTKINGSBRIDGE,25.5257319,31.15568104,27.04686836,38.34208811,40.11461318,43.66480617,37.78932452
CHSCTNABBOT,36.18283561,36.10467867,40.93048639,41.36185449,37.98367927,38.83612974,44.57562797
CHSCTOKE,74.12177844,73.54714251,64.63737237,58.32500119,65.07335542,78.71610508,85.22262953
CHSCTSMOLTON,51.10263768,62.75740341,85.89555881,77.68046142,86.94308126,74.85891973,74.48433919
CHSCTTAVISTOCK,32.66623752,27.84873336,35.59095413,45.34928599,48.21693765,48.13987522,53.87360867
CHSCTTEIGN,48.67455444,47.64591562,50.08953504,39.90821111,39.5985695,39.41032304,47.86156961
CHSCTTIVERTON,35.52597135,28.8372093,31.56155431,28.67927321,37.8218315,38.61145841,36.6767222
CHSCTTORRINGTON,29.42940903,30.57307531,37.20699492,45.92911234,53.30549602,60.56535001,59.09842076
CHSCTTOTNES,24.96328928,30.95017023,38.39225067,33.89181144,26.42744931,23.41748994,43.91679232
Eastern,,,,,,,
Northern,,,,,,,
Southern,,,,,,,
Western,,,,,,,
